timestamp,event_type,details
2026-08-04 20:43:27,START,アプリケーションが起動しました
2026-08-04 20:43:59,SHUTDOWN,ウィンドウの×ボタンにより正常終了しました
2026-08-04 20:44:00,START,アプリケーションが起動しました
2026-08-04 20:44:23,SHUTDOWN,管理者画面から終了されました
2026-08-04 20:44:23,SHUTDOWN,アプリケーションが正常に終了しました
2026-08-04 20:44:56,START,アプリケーションが起動しました
2026-08-04 20:45:04,SHUTDOWN,管理者画面から終了されました
2026-08-04 20:45:04,SHUTDOWN,アプリケーションが正常に終了しました
2026-08-04 20:45:05,START,アプリケーションが起動しました
2026-08-04 20:45:43,SHUTDOWN,管理者画面から終了されました
2026-08-04 20:45:43,SHUTDOWN,アプリケーションが正常に終了しました
